Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013679890560875513,0.0013679890560875513,0.0013679890560875513,0.0013679890560875513,0.0013679890560875513,0.0,0.0
0.02051983584131327,0.02051983584131327,0.02051983584131327,0.02051983584131327,0.02051983584131327,0.03333333333333333,0.03333333333333333
0.06292749658002736,0.06292749658002736,0.06292749658002736,0.06292749658002736,0.06292749658002736,0.06666666666666667,0.06666666666666667
0.15868673050615595,0.15868673050615595,0.15868673050615595,0.15868673050615595,0.15868673050615595,0.13333333333333333,0.13333333333333333
0.23803009575923392,0.23803009575923392,0.23803009575923392,0.23803009575923392,0.23803009575923392,0.08333333333333333,0.08333333333333333
0.14227086183310533,0.14227086183310533,0.14227086183310533,0.14227086183310533,0.14227086183310533,0.11666666666666667,0.11666666666666667
0.06566347469220246,0.06566347469220246,0.06566347469220246,0.06566347469220246,0.06566347469220246,0.03333333333333333,0.03333333333333333
0.027359781121751026,0.027359781121751026,0.027359781121751026,0.027359781121751026,0.027359781121751026,0.1,0.1
0.036935704514363885,0.036935704514363885,0.036935704514363885,0.036935704514363885,0.036935704514363885,0.1,0.1
0.06839945280437756,0.06839945280437756,0.06839945280437756,0.06839945280437756,0.06839945280437756,0.05,0.05
0.06155950752393981,0.06155950752393981,0.06155950752393981,0.06155950752393981,0.06155950752393981,0.05,0.05
0.027359781121751026,0.027359781121751026,0.027359781121751026,0.027359781121751026,0.027359781121751026,0.1,0.1
0.028727770177838577,0.028727770177838577,0.028727770177838577,0.028727770177838577,0.028727770177838577,0.03333333333333333,0.03333333333333333
0.016415868673050615,0.016415868673050615,0.016415868673050615,0.016415868673050615,0.016415868673050615,0.05,0.05
0.015047879616963064,0.015047879616963064,0.015047879616963064,0.015047879616963064,0.015047879616963064,0.016666666666666666,0.016666666666666666
0.0027359781121751026,0.0027359781121751026,0.0027359781121751026,0.0027359781121751026,0.0027359781121751026,0.016666666666666666,0.016666666666666666
0.0027359781121751026,0.0027359781121751026,0.0027359781121751026,0.0027359781121751026,0.0027359781121751026,0.0,0.0
0.009575923392612859,0.009575923392612859,0.009575923392612859,0.009575923392612859,0.009575923392612859,0.0,0.0
0.0027359781121751026,0.0027359781121751026,0.0027359781121751026,0.0027359781121751026,0.0027359781121751026,0.0,0.0
0.006839945280437756,0.006839945280437756,0.006839945280437756,0.006839945280437756,0.006839945280437756,0.0,0.0
0.004103967168262654,0.004103967168262654,0.004103967168262654,0.004103967168262654,0.004103967168262654,0.016666666666666666,0.016666666666666666
